---------------------------------
| rollout/           |          |
|    clip_fraction        | 0.211       |
|    clip_range           | 0.2         |
|    entropy_loss         | -11.8       |
|    explained_variance   | 0.989       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0287     |
|    n_updates            | 450         |
|    policy_gradient_loss | -0.0243     |
|    std                  | 0.895       |
|    value_loss           | 5.32e-05    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 280         |
|    ep_rew_mean          | 0           |
| time/                   |             |
|    fps                  | 268         |
|    iterations           | 47          |
|    time_elapsed         | 358         |
|    total_timesteps      | 96256       |
| train/                  |             |
|    approx_kl            | 0.014145848 |
|    clip_fraction        | 0.187       |
|    clip_range           | 0.2         |
|    entropy_loss         | -11.8       |
|    explained_variance   | 0.972       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0195     |
|    n_updates            | 460         |
|    policy_gradient_loss | -0.0232     |
|    std                  | 0.894       |
|    value_loss           | 7.93e-05    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 280         |
|    ep_rew_mean          | 0           |
| time/                   |             |
|    fps                  | 269         |
|    iterations           | 48          |
|    time_elapsed         | 365         |
|    total_timesteps      | 98304       |
| train/                  |             |
|    approx_kl            | 0.015220089 |
|    clip_fraction        | 0.187       |
|    clip_range           | 0.2         |
|    entropy_loss         | -11.8       |
|    explained_variance   | 0.99        |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0454     |
|    n_updates            | 470         |
|    policy_gradient_loss | -0.0221     |
|    std                  | 0.894       |
|    value_loss           | 7.88e-05    |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 280        |
|    ep_rew_mean          | 0          |
| time/                   |            |
|    fps                  | 269        |
|    iterations           | 49         |
|    time_elapsed         | 372        |
|    total_timesteps      | 100352     |
| train/                  |            |
|    approx_kl            | 0.01611768 |
|    clip_fraction        | 0.188      |
|    clip_range           | 0.2        |
|    entropy_loss         | -11.7      |
|    explained_variance   | 0.981      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.00335    |
|    n_updates            | 480        |
|    policy_gradient_loss | -0.0215    |
|    std                  | 0.892      |
|    value_loss           | 0.00013    |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 280         |
|    ep_rew_mean          | 0           |
| time/                   |             |
|    fps                  | 268         |
|    iterations           | 50          |
|    time_elapsed         | 380         |
|    total_timesteps      | 102400      |
| train/                  |             |
|    approx_kl            | 0.015870519 |
|    clip_fraction        | 0.183       |
|    clip_range           | 0.2         |
|    entropy_loss         | -11.7       |
|    explained_variance   | 0.986       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0122     |
|    n_updates            | 490         |
|    policy_gradient_loss | -0.0229     |
|    std                  | 0.891       |
|    value_loss           | 5.54e-05    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 280         |
|    ep_rew_mean          | 0           |
| time/                   |             |
|    fps                  | 268         |
|    iterations           | 51          |
|    time_elapsed         | 388         |
|    total_timesteps      | 104448      |
| train/                  |             |
|    approx_kl            | 0.014846319 |
|    clip_fraction        | 0.183       |
|    clip_range           | 0.2         |
|    entropy_loss         | -11.7       |
|    explained_variance   | 0.987       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0188     |
|    n_updates            | 500         |
|    policy_gradient_loss | -0.0208     |
|    std                  | 0.89        |
|    value_loss           | 8.36e-05    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 280         |
|    ep_rew_mean          | 0           |
| time/                   |             |
|    fps                  | 269         |
|    iterations           | 52          |
|    time_elapsed         | 395         |
|    total_timesteps      | 106496      |
| train/                  |             |
|    approx_kl            | 0.014343847 |
|    clip_fraction        | 0.173       |
|    clip_range           | 0.2         |
|    entropy_loss         | -11.7       |
|    explained_variance   | 0.988       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0379     |
|    n_updates            | 510         |
|    policy_gradient_loss | -0.0224     |
|    std                  | 0.884       |
|    value_loss           | 9.58e-05    |
-----------------------------------------
Traceback (most recent call last):
  File "/home/joel/PhD/ws/multi_task_RL/train_gym_robot.py", line 131, in <module>
  File "/home/joel/PhD/ws/multi_task_RL/train_gym_robot.py", line 117, in main
    callback=WandbCallback(
  File "/home/joel/PhD/.envs/gym-torch/lib/python3.11/site-packages/stable_baselines3/ppo/ppo.py", line 308, in learn
    return super().learn(
           ^^^^^^^^^^^^^^
  File "/home/joel/PhD/.envs/gym-torch/lib/python3.11/site-packages/stable_baselines3/common/on_policy_algorithm.py", line 259, in learn
    continue_training = self.collect_rollouts(self.env, callback, self.rollout_buffer, n_rollout_steps=self.n_steps)
                        ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/joel/PhD/.envs/gym-torch/lib/python3.11/site-packages/stable_baselines3/common/on_policy_algorithm.py", line 178, in collect_rollouts
    new_obs, rewards, dones, infos = env.step(clipped_actions)
                                     ^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/joel/PhD/.envs/gym-torch/lib/python3.11/site-packages/stable_baselines3/common/vec_env/base_vec_env.py", line 197, in step
    return self.step_wait()
           ^^^^^^^^^^^^^^^^
  File "/home/joel/PhD/.envs/gym-torch/lib/python3.11/site-packages/stable_baselines3/common/vec_env/dummy_vec_env.py", line 58, in step_wait
    obs, self.buf_rews[env_idx], terminated, truncated, self.buf_infos[env_idx] = self.envs[env_idx].step(
                                                                                  ^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/joel/PhD/.envs/gym-torch/lib/python3.11/site-packages/stable_baselines3/common/monitor.py", line 94, in step
    observation, reward, terminated, truncated, info = self.env.step(action)
                                                       ^^^^^^^^^^^^^^^^^^^^^
  File "/home/joel/PhD/.envs/gym-torch/lib/python3.11/site-packages/gymnasium/core.py", line 522, in step
    observation, reward, terminated, truncated, info = self.env.step(action)
                                                       ^^^^^^^^^^^^^^^^^^^^^
  File "/home/joel/PhD/.envs/gym-torch/lib/python3.11/site-packages/gymnasium/wrappers/time_limit.py", line 57, in step
    observation, reward, terminated, truncated, info = self.env.step(action)
                                                       ^^^^^^^^^^^^^^^^^^^^^
  File "/home/joel/PhD/.envs/gym-torch/lib/python3.11/site-packages/gymnasium/wrappers/order_enforcing.py", line 56, in step
    return self.env.step(action)
           ^^^^^^^^^^^^^^^^^^^^^
  File "/home/joel/PhD/.envs/gym-torch/lib/python3.11/site-packages/gymnasium/wrappers/env_checker.py", line 51, in step
    return self.env.step(action)
           ^^^^^^^^^^^^^^^^^^^^^
  File "/home/joel/PhD/.envs/gym-torch/lib/python3.11/site-packages/gymnasium_robotics/envs/franka_kitchen/kitchen_env.py", line 396, in step
    robot_obs, _, terminated, truncated, info = self.robot_env.step(action)
                                                ^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/joel/PhD/.envs/gym-torch/lib/python3.11/site-packages/gymnasium_robotics/envs/franka_kitchen/franka_env.py", line 103, in step
    self.do_simulation(ctrl_feasible, self.frame_skip)
  File "/home/joel/PhD/.envs/gym-torch/lib/python3.11/site-packages/gymnasium/envs/mujoco/mujoco_env.py", line 177, in do_simulation
    self._step_mujoco_simulation(ctrl, n_frames)
  File "/home/joel/PhD/.envs/gym-torch/lib/python3.11/site-packages/gymnasium/envs/mujoco/mujoco_env.py", line 401, in _step_mujoco_simulation
    mujoco.mj_step(self.model, self.data, nstep=n_frames)
KeyboardInterrupt
